"","a1_b1","a1_b2","a2_b1","a2_b2","n","sd","f_a","f_b","f_ab","pwr_a","pwr_b","pwr_ab"
"186",1.8,1,0.2,0,10,0.5,1.3703203194063,0.52704627669473,0.316227766016838,99.9999999182096,86.7984282757758,45.4976890622469
"187",2,1,0.2,0,10,0.5,1.47572957474524,0.632455532033676,0.421637021355784,99.999999998475,95.8338575994181,69.214061859491
"188",0,1.2,0.2,0,10,0.5,0.52704627669473,0.52704627669473,0.737864787372622,86.7984282757758,86.7984282757758,99.0520776507534
"189",0.2,1.2,0.2,0,10,0.5,0.632455532033676,0.421637021355784,0.632455532033676,95.833857599418,69.214061859491,95.833857599418
"190",0.4,1.2,0.2,0,10,0.5,0.737864787372622,0.316227766016838,0.52704627669473,99.0520776507534,45.4976890622469,86.7984282757758
"191",0.6,1.2,0.2,0,10,0.5,0.843274042711568,0.210818510677892,0.421637021355784,99.8465715863566,23.3814772917958,69.214061859491
"192",0.8,1.2,0.2,0,10,0.5,0.948683298050514,0.105409255338946,0.316227766016838,99.9824909814139,9.44388512559688,45.4976890622469
"193",1,1.2,0.2,0,10,0.5,1.05409255338946,0,0.210818510677892,99.9985996996167,5,23.3814772917958
"194",1.2,1.2,0.2,0,10,0.5,1.15950180872841,0.105409255338946,0.105409255338946,99.9999218432618,9.44388512559688,9.44388512559688
"195",1.4,1.2,0.2,0,10,0.5,1.26491106406735,0.210818510677892,0,99.9999969649224,23.3814772917958,5
"196",1.6,1.2,0.2,0,10,0.5,1.3703203194063,0.316227766016838,0.105409255338946,99.9999999182096,45.4976890622469,9.44388512559688
"197",1.8,1.2,0.2,0,10,0.5,1.47572957474524,0.421637021355784,0.210818510677892,99.999999998475,69.214061859491,23.3814772917958
"198",2,1.2,0.2,0,10,0.5,1.58113883008419,0.52704627669473,0.316227766016838,99.9999999999804,86.7984282757758,45.4976890622469
"199",0,1.4,0.2,0,10,0.5,0.632455532033676,0.632455532033676,0.843274042711568,95.833857599418,95.833857599418,99.8465715863566
"200",0.2,1.4,0.2,0,10,0.5,0.737864787372621,0.52704627669473,0.737864787372622,99.0520776507534,86.7984282757759,99.0520776507534
"201",0.4,1.4,0.2,0,10,0.5,0.843274042711568,0.421637021355784,0.632455532033676,99.8465715863566,69.214061859491,95.8338575994181
"202",0.6,1.4,0.2,0,10,0.5,0.948683298050514,0.316227766016838,0.52704627669473,99.9824909814139,45.4976890622469,86.7984282757759
"203",0.8,1.4,0.2,0,10,0.5,1.05409255338946,0.210818510677892,0.421637021355784,99.9985996996167,23.3814772917958,69.214061859491
"204",1,1.4,0.2,0,10,0.5,1.15950180872841,0.105409255338946,0.316227766016838,99.9999218432618,9.44388512559688,45.4976890622469
"205",1.2,1.4,0.2,0,10,0.5,1.26491106406735,0,0.210818510677892,99.9999969649224,5,23.3814772917958
"206",1.4,1.4,0.2,0,10,0.5,1.3703203194063,0.105409255338946,0.105409255338946,99.9999999182096,9.44388512559688,9.44388512559688
"207",1.6,1.4,0.2,0,10,0.5,1.47572957474524,0.210818510677892,0,99.999999998475,23.3814772917958,5
"208",1.8,1.4,0.2,0,10,0.5,1.58113883008419,0.316227766016838,0.105409255338946,99.9999999999804,45.4976890622469,9.44388512559688
